iter	Accuracy	Logloss
0	0.9360362581	0.6591689342
1	0.9360362581	0.6277184162
2	0.9360362581	0.5986494458
3	0.9360362581	0.5717930509
4	0.9360362581	0.5469482038
5	0.9360362581	0.5239729766
6	0.9360362581	0.5027355478
7	0.9360362581	0.483137582
8	0.9360362581	0.4650486628
9	0.9360362581	0.4483538939
10	0.9360362581	0.4329336629
11	0.9360362581	0.4185863131
12	0.9360362581	0.4054291118
13	0.9360362581	0.3932852726
14	0.9360362581	0.3820566079
15	0.9360362581	0.3714545843
16	0.9360362581	0.3618686772
17	0.9360362581	0.3529365711
18	0.9360362581	0.3447282092
19	0.9360362581	0.3371506534
20	0.9360362581	0.3301443218
21	0.9360362581	0.3236521895
22	0.9360362581	0.3176204233
23	0.9360362581	0.3120485654
24	0.9360362581	0.3068887442
25	0.9360362581	0.3021053692
26	0.9360362581	0.2976263898
27	0.9360362581	0.2934811068
28	0.9360362581	0.2896619833
29	0.9360362581	0.2861188015
30	0.9360362581	0.2828057111
31	0.9360362581	0.2797466933
32	0.9360362581	0.2768899231
33	0.9360362581	0.2742123021
34	0.9360362581	0.2717302503
35	0.9360362581	0.2694420786
36	0.9360362581	0.2671931463
37	0.9360362581	0.2652107129
38	0.9360362581	0.2632551012
39	0.9360362581	0.2615463441
40	0.9360362581	0.2599548907
41	0.9360362581	0.258472886
42	0.9360362581	0.2570910844
43	0.9360362581	0.2558022703
44	0.9360362581	0.2544934854
45	0.9360362581	0.2533726506
46	0.9360362581	0.2523016324
47	0.9360362581	0.2512268937
48	0.9360362581	0.2503180193
49	0.9360362581	0.2494374637
50	0.9360362581	0.2485557793
51	0.9360362581	0.247787426
52	0.9360362581	0.2470964606
53	0.9360362581	0.2464509317
54	0.9360362581	0.2458469713
55	0.9360362581	0.2452640337
56	0.9360362581	0.2447354298
57	0.9360362581	0.2442408997
58	0.9360362581	0.2437790041
59	0.9360362581	0.2433458182
60	0.9360362581	0.242941042
61	0.9360362581	0.2425613628
62	0.9360362581	0.242128388
63	0.9360362581	0.2417238187
64	0.9360362581	0.2414142626
65	0.9360362581	0.2410426117
66	0.9360362581	0.2407587292
67	0.9360362581	0.2404875414
68	0.9360362581	0.2402484645
69	0.9360362581	0.2399518656
70	0.9360362581	0.2396773332
71	0.9360362581	0.2394309332
72	0.9360362581	0.2391571931
73	0.9360362581	0.2389306031
74	0.9360362581	0.2387235808
75	0.9360362581	0.2385309261
76	0.9360362581	0.2383708476
77	0.9360362581	0.2382391646
78	0.9360362581	0.2380819011
79	0.9360362581	0.2379066956
80	0.9360362581	0.2377649997
81	0.9360362581	0.2376303307
82	0.9360362581	0.2375228931
83	0.9360362581	0.2374334696
84	0.9360362581	0.2373446659
85	0.9360362581	0.2372662709
86	0.9360362581	0.23719286
87	0.9360362581	0.237114516
88	0.9360362581	0.2370196843
89	0.9360362581	0.236909
90	0.9360362581	0.2368381798
91	0.9360362581	0.2367845499
92	0.9360362581	0.2367006476
93	0.9360362581	0.2366401829
94	0.9360362581	0.2365789569
95	0.9360362581	0.2364907537
96	0.9360362581	0.2364235825
97	0.9360362581	0.2363574541
98	0.9360362581	0.2363232302
99	0.9360362581	0.2362599764
100	0.9360362581	0.2362225643
101	0.9360362581	0.2361945041
102	0.9360362581	0.2361264689
103	0.9360362581	0.2361017743
104	0.9360362581	0.2360675665
105	0.9360362581	0.2360294123
106	0.9360362581	0.235990045
107	0.9360362581	0.2359460913
108	0.9360362581	0.2358850101
109	0.9360362581	0.2358682902
110	0.9360362581	0.2358278245
111	0.9360362581	0.2358103386
112	0.9360362581	0.235771531
113	0.9360362581	0.2357252822
114	0.9360362581	0.2356909338
115	0.9360362581	0.2356722956
116	0.9360362581	0.2356347744
117	0.9360362581	0.2356246176
118	0.9360362581	0.2355949238
119	0.9360362581	0.235567532
120	0.9360362581	0.2355133112
121	0.9360362581	0.2355052994
122	0.9360362581	0.2354912899
123	0.9360362581	0.2354832118
124	0.9360362581	0.2354715724
125	0.9360362581	0.2354339102
126	0.9360362581	0.2354281912
127	0.9360362581	0.2354161347
128	0.9360362581	0.2354111022
129	0.9360362581	0.2353965445
130	0.9360362581	0.2353578283
131	0.9360362581	0.2353347517
132	0.9360362581	0.2353071062
133	0.9360362581	0.2352791137
134	0.9360362581	0.2352537591
135	0.9360362581	0.235225996
136	0.9360362581	0.2352230893
137	0.9360362581	0.2352133518
138	0.9360362581	0.2351998767
139	0.9360362581	0.2351811794
140	0.9360362581	0.235160965
141	0.9360362581	0.2351526177
142	0.9360362581	0.2351300494
143	0.9360362581	0.2351130154
144	0.9360362581	0.235099366
145	0.9360362581	0.2350675418
146	0.9360362581	0.2350616098
147	0.9360362581	0.2350562129
148	0.9360362581	0.2350327305
149	0.9360362581	0.2350040458
150	0.9360362581	0.2349825015
151	0.9360362581	0.2349627508
152	0.9360362581	0.2349524174
153	0.9360362581	0.2349514581
154	0.9360362581	0.2349505415
155	0.9360362581	0.2349460846
156	0.9360362581	0.2349158217
157	0.9360362581	0.2348919019
158	0.9360362581	0.2348848354
159	0.9360362581	0.2348819958
160	0.9360362581	0.2348770876
