iter	Passed	Remaining
0	20	41178
1	42	42684
2	58	38670
3	67	33479
4	84	33848
5	100	33460
6	118	33800
7	135	33677
8	153	33920
9	168	33545
10	180	32634
11	198	32923
12	216	33129
13	227	32304
14	240	31813
15	259	32174
16	276	32202
17	295	32484
18	308	32152
19	319	31621
20	331	31210
21	344	30940
22	360	30977
23	376	30999
24	390	30821
25	401	30465
26	419	30672
27	436	30708
28	452	30734
29	464	30483
30	482	30646
31	501	30838
32	520	31036
33	538	31142
34	554	31105
35	568	31022
36	581	30831
37	592	30593
38	605	30430
39	619	30354
40	630	30144
41	639	29794
42	649	29579
43	660	29375
44	675	29338
45	690	29314
46	708	29438
47	723	29402
48	735	29304
49	751	29313
50	766	29304
51	783	29358
52	800	29391
53	814	29352
54	824	29149
55	841	29224
56	853	29102
57	868	29076
58	880	28959
59	894	28916
60	909	28915
61	922	28844
62	941	28959
63	961	29078
64	972	28955
65	993	29118
66	1010	29153
67	1031	29295
68	1044	29218
69	1067	29441
70	1085	29484
71	1097	29395
72	1115	29445
73	1129	29393
74	1142	29316
75	1157	29298
76	1176	29381
77	1192	29373
78	1200	29197
79	1219	29274
80	1233	29228
81	1249	29215
82	1265	29233
83	1276	29114
84	1290	29083
85	1303	29012
86	1314	28907
87	1329	28894
88	1347	28928
89	1364	28956
90	1376	28876
91	1385	28741
92	1400	28716
93	1418	28757
94	1433	28736
95	1447	28710
96	1466	28772
97	1487	28873
98	1502	28850
99	1521	28906
100	1539	28951
101	1551	28867
102	1568	28886
103	1578	28777
104	1593	28752
105	1608	28745
106	1624	28736
107	1638	28702
108	1655	28727
109	1666	28638
110	1682	28638
111	1698	28626
112	1719	28715
113	1736	28728
114	1755	28778
115	1770	28760
116	1793	28857
117	1805	28802
118	1825	28854
119	1841	28855
120	1859	28882
121	1870	28798
122	1884	28756
123	1901	28764
124	1917	28759
125	1937	28814
126	1948	28737
127	1963	28719
128	1975	28648
129	1989	28620
130	2009	28668
131	2026	28672
132	2042	28666
133	2060	28691
134	2077	28699
135	2096	28739
136	2106	28640
137	2120	28611
138	2136	28608
139	2156	28653
140	2175	28681
141	2186	28608
142	2201	28586
143	2219	28607
144	2234	28590
145	2254	28623
146	2265	28560
147	2279	28527
148	2298	28550
149	2315	28562
150	2334	28588
151	2352	28602
152	2371	28626
153	2382	28559
154	2392	28481
155	2406	28445
156	2428	28504
157	2449	28559
158	2464	28530
159	2482	28549
160	2500	28556
161	2519	28580
162	2538	28604
163	2559	28655
164	2577	28665
165	2587	28592
166	2603	28578
167	2618	28556
168	2637	28580
169	2657	28603
170	2676	28630
171	2692	28620
172	2711	28639
173	2719	28537
174	2728	28456
175	2744	28441
176	2753	28360
177	2769	28351
178	2785	28341
179	2807	28383
180	2823	28379
181	2841	28387
182	2858	28385
183	2873	28357
184	2893	28385
185	2912	28400
186	2931	28420
187	2952	28456
188	2972	28478
189	2992	28503
190	3019	28598
191	3036	28590
192	3048	28543
193	3067	28554
194	3084	28552
195	3104	28574
196	3115	28512
197	3132	28506
198	3149	28501
199	3167	28510
200	3187	28525
201	3206	28541
202	3225	28555
203	3238	28513
204	3251	28474
205	3267	28454
206	3278	28398
207	3297	28413
208	3312	28390
209	3326	28357
210	3336	28288
211	3344	28206
212	3359	28182
213	3377	28184
214	3394	28179
215	3413	28193
216	3436	28236
217	3448	28191
218	3462	28159
219	3471	28091
220	3489	28089
221	3509	28104
222	3529	28121
223	3545	28110
224	3555	28051
225	3576	28075
226	3597	28101
227	3616	28109
228	3634	28104
229	3652	28111
230	3665	28074
231	3677	28027
232	3696	28036
233	3717	28054
234	3731	28028
235	3754	28062
236	3771	28052
237	3785	28027
238	3803	28022
239	3817	27993
240	3834	27983
241	3854	28003
242	3875	28023
243	3896	28044
244	3917	28061
245	3935	28057
246	3951	28046
247	3969	28043
248	3985	28025
249	4005	28035
250	4025	28047
251	4047	28072
252	4063	28060
253	4077	28026
254	4093	28012
255	4111	28008
256	4132	28027
257	4149	28019
258	4163	27984
259	4174	27937
260	4196	27959
261	4209	27924
262	4229	27931
263	4247	27930
264	4266	27932
265	4281	27913
266	4300	27915
267	4321	27925
268	4343	27949
269	4357	27917
270	4370	27884
271	4390	27892
272	4403	27858
273	4418	27830
274	4436	27829
275	4455	27833
276	4474	27831
277	4490	27816
278	4512	27832
279	4529	27824
280	4546	27812
281	4562	27792
282	4579	27784
283	4602	27811
284	4618	27794
285	4636	27784
286	4654	27779
287	4669	27759
288	4678	27700
289	4698	27705
290	4715	27692
291	4734	27695
292	4750	27674
293	4766	27657
294	4786	27665
295	4805	27666
296	4825	27671
297	4840	27647
298	4861	27659
299	4875	27629
300	4887	27588
301	4901	27558
302	4918	27545
303	4931	27514
304	4949	27505
305	4970	27513
306	4989	27513
307	5008	27511
308	5019	27470
309	5036	27457
310	5052	27437
311	5072	27441
312	5084	27404
313	5097	27369
314	5114	27359
315	5128	27331
316	5144	27312
317	5153	27259
318	5173	27260
319	5190	27247
320	5202	27213
321	5210	27152
322	5229	27151
323	5238	27098
324	5255	27083
325	5274	27085
326	5289	27063
327	5307	27057
328	5324	27044
329	5343	27042
330	5357	27011
331	5371	26985
332	5390	26983
333	5409	26983
334	5427	26977
335	5447	26978
336	5457	26930
337	5471	26901
338	5484	26871
339	5502	26863
340	5518	26849
341	5537	26846
342	5553	26829
343	5571	26822
344	5581	26775
345	5609	26817
346	5629	26816
347	5648	26813
348	5664	26798
349	5679	26776
350	5698	26772
351	5719	26778
352	5739	26778
353	5755	26760
354	5771	26745
355	5793	26752
356	5808	26730
357	5826	26722
358	5843	26711
359	5863	26711
360	5881	26702
361	5899	26692
362	5916	26681
363	5937	26685
364	5955	26678
365	5973	26670
366	5993	26666
367	6010	26657
368	6026	26638
369	6045	26631
370	6065	26630
371	6084	26626
372	6103	26622
373	6121	26613
374	6143	26619
375	6164	26624
376	6181	26613
377	6198	26599
378	6218	26598
379	6238	26595
380	6259	26600
381	6280	26601
382	6301	26603
383	6320	26597
384	6336	26580
385	6356	26579
386	6377	26580
387	6390	26550
388	6407	26533
389	6422	26514
390	6442	26509
391	6465	26520
392	6487	26526
393	6505	26516
394	6515	26473
395	6533	26465
396	6557	26477
397	6579	26481
398	6598	26476
399	6619	26476
400	6636	26464
401	6654	26451
402	6670	26431
403	6691	26434
404	6709	26425
405	6727	26412
406	6746	26405
407	6766	26404
408	6784	26390
409	6804	26387
410	6823	26382
411	6841	26369
412	6861	26366
413	6879	26356
414	6896	26341
415	6918	26342
416	6937	26334
417	6958	26336
418	6977	26326
419	6998	26328
420	7019	26327
421	7042	26334
422	7058	26316
423	7080	26316
424	7099	26310
425	7117	26296
426	7137	26292
427	7157	26288
428	7175	26275
429	7194	26266
